"detectprob","resp_binary","subject_nr","condition"
0.510981698596419,1,2,6
0,0,2,6
0,0,2,6
0.17777886641275,0,2,6
0,0,2,6
0,0,2,6
0.17777886641275,1,2,6
0,0,2,6
0.17777886641275,0,2,6
0.510981698596419,1,2,6
0.510981698596419,1,2,6
0,0,2,6
0.834703624431779,1,2,6
0.510981698596419,0,2,6
0,0,2,6
0,0,2,6
0.17777886641275,1,2,6
0,0,2,6
0,0,2,6
0,0,2,6
0.834703624431779,1,2,6
0.510981698596419,0,2,6
0,0,2,6
0,0,2,6
0.834703624431779,1,2,6
0,0,2,6
0.510981698596419,0,2,6
0,0,2,6
0.510981698596419,1,2,6
0,0,2,6
0,0,2,6
0,0,2,6
0.17777886641275,0,2,6
0.510981698596419,0,2,6
0,0,2,6
0.17777886641275,0,2,6
0.834703624431779,0,2,6
0,0,2,6
0,0,2,6
0.510981698596419,0,2,6
0.478869315265917,0,3,1
0,0,3,1
0.478869315265917,1,3,1
0.62599104986685,1,3,1
0.478869315265917,1,3,1
0.335323978604065,1,3,1
0,0,3,1
0.478869315265917,0,3,1
0.478869315265917,0,3,1
0.335323978604065,0,3,1
0.62599104986685,1,3,1
0.478869315265917,1,3,1
0.478869315265917,1,3,1
0.62599104986685,1,3,1
0.62599104986685,1,3,1
0.478869315265917,1,3,1
0.478869315265917,1,3,1
0.478869315265917,1,3,1
0,0,3,1
0.335323978604065,1,3,1
0.335323978604065,1,3,1
0.62599104986685,1,3,1
0,0,3,1
0,0,3,1
0,0,3,1
0.478869315265917,0,3,1
0,0,3,1
0.478869315265917,1,3,1
0,0,3,1
0.478869315265917,1,3,1
0.62599104986685,1,3,1
0.478869315265917,1,3,1
0,0,3,1
0,1,3,1
0.478869315265917,1,3,1
0.478869315265917,0,3,1
0.62599104986685,1,3,1
0,0,3,1
0.335323978604065,1,3,1
0.62599104986685,1,3,1
0,1,3,1
0,0,3,1
0,0,3,1
0,0,3,1
0.478869315265917,1,3,1
0,0,3,1
0.335323978604065,1,3,1
0.478869315265917,0,3,1
0,1,3,1
0,0,3,1
0.335323978604065,1,3,1
0,0,3,1
0,1,3,1
0.62599104986685,0,3,1
0.478869315265917,1,3,1
0.62599104986685,0,3,1
0.335323978604065,0,3,1
0,0,3,1
0,0,3,1
0,0,3,1
0.478869315265917,0,3,1
0.478869315265917,0,3,1
0.478869315265917,0,3,1
0,0,3,1
0,0,3,1
0,0,3,1
0.478869315265917,1,3,1
0.62599104986685,1,3,1
0.335323978604065,0,3,1
0.62599104986685,0,3,1
0,0,3,1
0.478869315265917,0,3,1
0,0,3,1
0,0,3,1
0,0,3,1
0.335323978604065,0,3,1
0.478869315265917,0,3,1
0.478869315265917,1,3,1
0,1,3,1
0,0,3,1
0,0,3,2
0.335323978604065,0,3,2
0.62599104986685,0,3,2
0.335323978604065,0,3,2
0.478869315265917,1,3,2
0.62599104986685,0,3,2
0.478869315265917,0,3,2
0.478869315265917,1,3,2
0,0,3,2
0.478869315265917,1,3,2
0.478869315265917,1,3,2
0.62599104986685,1,3,2
0.478869315265917,0,3,2
0.478869315265917,0,3,2
0.62599104986685,0,3,2
0.478869315265917,0,3,2
0,0,3,2
0.335323978604065,1,3,2
0,1,3,2
0,0,3,2
0.62599104986685,1,3,2
0,0,3,2
0.478869315265917,0,3,2
0.478869315265917,0,3,2
0.478869315265917,0,3,2
0,0,3,2
0.478869315265917,0,3,2
0.478869315265917,0,3,2
0.478869315265917,0,3,2
0.335323978604065,1,3,2
0,0,3,2
0.62599104986685,0,3,2
0,1,3,2
0,0,3,2
0,0,3,2
0.478869315265917,1,3,2
0.335323978604065,1,3,2
0.62599104986685,1,3,2
0.62599104986685,1,3,2
0.478869315265917,1,3,2
0,0,3,2
0,0,3,2
0,0,3,2
0.478869315265917,1,3,2
0,0,3,2
0.478869315265917,0,3,2
0.335323978604065,0,3,2
0,0,3,2
0.335323978604065,1,3,2
0.62599104986685,1,3,2
0,0,3,2
0,0,3,2
0,0,3,2
0,0,3,2
0.62599104986685,0,3,2
0.478869315265917,0,3,2
0.478869315265917,1,3,2
0,1,3,2
0,0,3,2
0,0,3,2
0.478869315265917,0,3,2
0.335323978604065,0,3,2
0,0,3,2
0.478869315265917,0,3,2
0.335323978604065,0,3,2
0.478869315265917,0,3,2
0,0,3,2
0.62599104986685,0,3,2
0,1,3,2
0.478869315265917,0,3,2
0,0,3,2
0.62599104986685,1,3,2
0.478869315265917,0,3,2
0.478869315265917,1,3,2
0,1,3,2
0,0,3,2
0,0,3,2
0,0,3,2
0,0,3,2
0.335323978604065,0,3,2
0.62599104986685,1,3,3
0.62599104986685,1,3,3
0.335323978604065,0,3,3
0.62599104986685,1,3,3
0.478869315265917,1,3,3
0.478869315265917,1,3,3
0,1,3,3
0.478869315265917,1,3,3
0.478869315265917,1,3,3
0.478869315265917,1,3,3
0.478869315265917,1,3,3
0.62599104986685,1,3,3
0.335323978604065,1,3,3
0.478869315265917,1,3,3
0.478869315265917,0,3,3
0,0,3,3
0,0,3,3
0.478869315265917,1,3,3
0.478869315265917,1,3,3
0.478869315265917,1,3,3
0,0,3,3
0.478869315265917,0,3,3
0,0,3,3
0,1,3,3
0,1,3,3
0.62599104986685,1,3,3
0.62599104986685,1,3,3
0.478869315265917,1,3,3
0,0,3,3
0.335323978604065,1,3,3
0.335323978604065,1,3,3
0.478869315265917,0,3,3
0.478869315265917,1,3,3
0,1,3,3
0.478869315265917,1,3,3
0.62599104986685,1,3,3
0.335323978604065,0,3,3
0,0,3,3
0.478869315265917,1,3,3
0.62599104986685,0,3,3
0.478869315265917,0,3,3
0,0,3,3
0,1,3,3
0,0,3,3
0,1,3,3
0,0,3,3
0.335323978604065,0,3,3
0,0,3,3
0.62599104986685,1,3,3
0.478869315265917,1,3,3
0.335323978604065,1,3,3
0.62599104986685,1,3,3
0,0,3,3
0,0,3,3
0,0,3,3
0,0,3,3
0.478869315265917,0,3,3
0,1,3,3
0.478869315265917,1,3,3
0,0,3,3
0.335323978604065,0,3,3
0.478869315265917,0,3,3
0,0,3,3
0,1,3,3
0.335323978604065,1,3,3
0,0,3,3
0,0,3,3
0,0,3,3
